ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,INITIAL_WEIGHT,INITIAL_WEIGHT_%,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%,YF_SYMBOL,VOLATILITY,EXPECTED_RETURN_30D,RETURN_NORM,CONVICTION_SCORE,RISK_SCORE,FINAL_WEIGHT,FINAL_WEIGHT_%,CONVICTION_NORM,VOL_NORM,OPTIMISER_SCORE,OPT_WEIGHT,OPT_WEIGHT_%
1,HFCL,Technology,Communication Equipment,286511267840,4.4367,147.74,340.57,94.61,183.16,-89.75,175.92,14.95,2,5.0,99.48892674616695,99.88,100.0,100.0,62.673333333333325,99.77,41.47,94.87,82.32,99.65,91.16,5,0.0295742616978273,2.96,12465.2184,0.0275804219182542,2.76,HFCL.NS,0.4798071041527482,124.55467,1.0,52.25184,653.4105837253145,0.0316663489686118,3.17,1.0,0.5646445527656552,0.887071089446869,0.0486778331223723,4.87
4,CONFIPET,Energy,Oil & Gas Refining & Marketing,25785229312,3.4256,128.916,232.22,49.44,181.9,-34.03,63.12,13.21,3,8.0,72.23168654173764,99.77,99.54,99.65,65.77,99.88,48.04,90.32,95.62,81.22,92.55,1,0.0300252075486388,3.0,15417.9045,0.0341135066839544,3.41,CONFIPET.NS,0.524867637266319,103.12096,0.8279172511155142,47.54430758766732,815.250813552997,0.0395096397302414,3.95,0.9099068585463654,0.6176724974273379,0.7715951443792843,0.04234111574930003,4.23
6,CPPLUS,Industrials,Building Products & Equipment,412700606464,2.9808,97.332,266.91,67.29,117.36,-45.75,153.04,8.06,7,8.0,88.75638841567292,99.19,99.88,99.42,46.3,99.42,41.59,54.38,95.62,92.4,90.48,7,0.0293536550945526,2.94,14735.93472,0.0326045869310603,3.26,CPPLUS.NS,0.4551627827133646,82.88988,0.6654899410837025,45.21248349116256,893.9930215619432,0.0433257368359144,4.33,0.8652802177141046,0.5356427273718323,0.7051795180447564,0.038696572697574726,3.87
5,IDEAFORGE,Technology,Computer Hardware,41002508288,3.0412,110.138,188.3,80.6,129.83,-67.9,116.9,14.95,2,8.0,82.62350936967631,99.54,98.96,99.54,47.51,99.54,42.17,94.87,95.62,88.25,92.36,2,0.0299635674683121,3.0,15354.66528,0.0339735841961638,3.4,IDEAFORGE.NS,0.5651775336157424,94.50532,0.758745697772713,42.648551854665904,679.1440633465792,0.0329134749965033,3.29,0.8162114837423122,0.6651098179656435,0.6969609090128814,0.03824557831424848,3.82
7,IBULLSLTD,Real Estate,Real Estate - Development,51903754240,2.7118,107.468,204.86,40.88,151.86,-29.51,55.15,9.07,6,8.0,62.86201022146509,99.42,99.42,99.31,54.41,99.65,49.42,65.84,95.62,74.88,90.97,6,0.0295126216175006,2.95,14895.97362,0.0329586874565138,3.3,IBULLSLTD.NS,0.5522000813492712,85.89438000000001,0.6896118788641166,43.49980178182961,708.978917713778,0.0343593666507723,3.44,0.8325027746741476,0.6498377478615992,0.6788783118429857,0.037253299726966234,3.73
11,CEMPRO,Industrials,Engineering & Construction,191165235200,2.3866,94.006,177.0,71.92,108.73,-67.23,117.08,8.06,7,8.0,84.8381601362862,98.96,98.5,98.85,37.806666666666665,98.73,42.05,54.38,95.62,89.75,89.97,8,0.0291882001420966,2.92,14570.28162,0.0322380644808747,3.22,CEMPRO.NS,0.5249617698383903,81.16306,0.651625988812784,39.19456389832192,671.9557410694722,0.0325651061035051,3.26,0.75010877891232,0.6177832741198833,0.637137252266065,0.03496276816009563,3.5
9,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,46372597760,2.4372,95.582,169.2,67.16,114.53,-63.29,99.22,10.69,4,5.0,89.26746166950596,99.08,98.16,99.08,39.46666666666667,98.96,42.63,85.71,82.32,92.74,89.82,9,0.029139536920786,2.91,12101.448599999998,0.0267755483698599,2.68,BLISSGVS.NS,0.5825070563690763,81.53052,0.6545761792793477,38.9896264268919,401.6050209237784,0.0194630528749825,1.95,0.7461866687736145,0.6855034731241618,0.6232044445963525,0.034198208369182734,3.42
15,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38651703296,2.1294,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,10.69,4,8.0,81.60136286201022,98.04,99.08,98.39,33.26000000000001,98.04,43.55,85.71,95.62,87.56,91.26,4,0.0296067038453677,2.96,14991.097680000004,0.0331691580335378,3.32,IOLCP.NS,0.4674390705899278,63.98594000000001,0.5137177112668678,39.85443765669003,767.3512153306493,0.0371882733022332,3.72,0.762737497027665,0.5500896561848698,0.6005641520808392,0.03295582724097005,3.3
21,AEROFLEX,Industrials,Metal Fabrication,55545839616,1.8235,76.834,145.62,43.81,98.85,-38.43,64.54,8.06,7,7.0,84.32708688245314,98.16,96.66,97.7,34.74333333333333,98.16,47.58,54.38,90.5,89.4,89.08,12,0.028899465028987,2.89,13489.91888,0.0298476643099509,2.98,AEROFLEX.NS,0.5551397122338578,63.828950000000006,0.5124573008784015,36.71006859513176,529.0209694768483,0.0256380338005201,2.56,0.7025603040032994,0.6532971517590352,0.5553476116008733,0.030474579415356407,3.05
18,AVALON,Technology,Electronic Components,107387936768,2.0019,70.78999999999999,142.92,55.4,81.05,-48.83,97.69,14.95,2,8.0,0.0,97.64,96.37,98.04,29.206666666666663,97.29,43.03,94.87,95.62,16.24,87.55,20,0.0284031001716189,2.84,13797.0045,0.0305271189887898,3.05,AVALON.NS,0.5351744006793155,61.34618999999999,0.49252420643882716,36.18375863096582,608.5003828010618,0.0294898582135803,2.95,0.6924877407372797,0.6298016588495501,0.5480444471005327,0.030073819851616723,3.01
19,ADANIGREEN,Utilities,Utilities - Renewable,2513096671232,1.8811,62.79,170.25,32.76,82.81,-28.55,67.35,15.17,1,8.0,0.0,97.24,98.27,97.93,29.006666666666664,97.12,46.89,99.08,95.62,16.24,88.22,14,0.0286204625601396,2.86,14008.98312,0.0309961408373962,3.1,ADANIGREEN.NS,0.4832522765294169,51.69411,0.41503148777962323,37.67397472316694,701.6330578793717,0.0340033629881677,3.4,0.7210076185483026,0.5686988858486547,0.5406758653614394,0.02966947053112675,2.97
30,HSCL,Basic Materials,Specialty Chemicals,345636208640,1.5659,50.088,166.78,36.81,58.94,-22.97,104.16,9.84,5,8.0,98.46678023850085,95.05,97.93,96.66,24.26,95.28,42.51,74.83,95.62,98.96,89.72,10,0.0291070947732456,2.91,14489.42112,0.0320591533190356,3.21,HSCL.NS,0.385357301699822,43.02279000000001,0.345412901820542,36.55699193527308,853.7866701011563,0.0413772095426265,4.14,0.6996307103304512,0.45349453851355476,0.5273185371576863,0.028936490050759062,2.89
39,APCOTEXIND,Basic Materials,Specialty Chemicals,28006647808,1.3972,51.22,125.17,41.14,57.94,-27.63,88.87,9.84,5,8.0,44.97444633730835,95.39,95.28,95.62,23.816666666666663,94.82,43.89,74.83,95.62,62.79,87.54,21,0.0283998559568649,2.84,13793.852880000002,0.0305201457447971,3.05,APCOTEXIND.NS,0.3670943596220834,44.55772,0.3577362454575168,33.83310043681863,829.4812926159979,0.0401992938730168,4.02,0.6475006513994269,0.4320024208012107,0.5156942745825354,0.028298611169871778,2.83
36,ADANIENT,Energy,Thermal Coal,4182092546048,1.4517,49.048,132.04,40.66,54.64,-36.08,98.26,13.21,3,8.0,98.9778534923339,94.82,95.74,95.97,19.74,92.28,42.86,90.32,95.62,99.31,89.56,11,0.0290551873371809,2.91,14437.78848,0.031944911438127,3.19,ADANIENT.NS,0.3761134188766699,42.89037,0.34434975420833275,34.41599246313125,823.5386365455585,0.039911293914623,3.99,0.6586560868120864,0.44261619170017535,0.5126790980681326,0.02813315401435326,2.81
32,EFFWA,Unknown,Unknown,5069229568,1.5282,61.23400000000001,130.8,46.45,71.09,-24.89,85.46,5.75,10,8.0,0.0,96.89,95.62,96.43,30.883333333333336,97.58,44.01,17.74,95.62,16.24,83.34,66,0.0270372857601681,2.7,12502.000080000002,0.0276618047084075,2.77,EFFWA.NS,0.5257458194357753,52.799420000000005,0.42390558298616987,33.75172583744793,577.7802149012412,0.0280010614580337,2.8,0.6459432976417276,0.6187059560277374,0.5041983610456116,0.02766777541454519,2.77
34,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1896825356288,1.4986,49.804,148.2,20.41,69.4,-15.26,43.58,15.17,1,8.0,97.78534923339012,94.93,97.0,96.2,24.85,95.74,55.41,99.08,95.62,98.5,92.09,3,0.029875973669953,2.99,15265.02258,0.03377524162337,3.38,ADANIENSOL.NS,0.4588590165737962,40.07446,0.3217419306718889,36.82498128960079,722.2803075356056,0.0350039941826131,3.5,0.7047595125760316,0.5399925135608593,0.5026020745869964,0.02758017954227251,2.76
31,ACMESOLAR,Utilities,Utilities - Renewable,251640758272,1.5448,47.11999999999999,150.14,22.58,63.48,-6.68,53.41,15.17,1,8.0,0.0,94.59,97.12,96.54,26.46,96.2,50.23,99.08,95.62,16.24,87.58,18,0.028412832815881,2.84,13806.46152,0.0305480434999632,3.05,ACMESOLAR.NS,0.4711379433871931,38.47247999999999,0.3088802692022707,36.04329204038034,688.523675319505,0.0333680407371307,3.34,0.6897994796045525,0.554442547916302,0.48858338993946887,0.026810907270877652,2.68
44,IDEA,Communication Services,Telecom Services,1619728400384,1.3462,58.42,113.7,63.49,55.04,-55.8,131.15,4.24,11,7.0,98.63713798977854,96.66,93.32,95.05,20.91,93.2,41.82,13.02,90.5,99.08,84.84,55,0.0275239179732741,2.75,12236.30352,0.0270739270642398,2.71,IDEA.NS,0.5329378008108371,53.55762000000001,0.429992869797656,31.489238930469654,472.6891413228398,0.0229080147699214,2.29,0.6026436376301706,0.6271695929182155,0.4876206843874875,0.0267580790130719,2.68
38,AIMTRON,Unknown,Unknown,11131658240,1.4114,58.044,147.15,31.02,76.06,-19.39,60.01,5.75,10,5.0,44.122657580919935,96.43,96.89,95.74,29.23,97.47,48.73,17.74,82.32,62.21,84.01,60,0.0272546481486888,2.73,10586.52015,0.0234236323033939,2.34,AIMTRON.NS,0.5780602257632985,47.876740000000005,0.3843833394604956,34.15943750091908,354.5592930821004,0.0171830677133966,1.72,0.6537461169007461,0.6802703728701384,0.47919770797046907,0.026295870013929603,2.63
56,GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,195722395648,1.1158,36.608,146.84,22.49,46.02,-19.63,71.76,10.69,4,7.0,83.64565587734242,89.86,96.77,93.66,16.293333333333337,88.94,45.62,85.71,90.5,88.94,86.55,32,0.0280786786962149,2.81,12734.53425,0.0281763075685428,2.82,GRANULES.NS,0.3631152480446887,30.70578,0.24652451810919654,33.45263867771638,737.0142423454352,0.0357180473874277,3.57,0.6402193430454579,0.42731973966210984,0.46923359652943986,0.025749091565494788,2.57
66,ARVIND,Consumer Cyclical,Textile Manufacturing,129406001152,1.0159,43.332,118.39,31.38,51.3,-26.27,72.42,6.62,9,7.0,77.68313458262351,92.51,94.12,92.51,18.80333333333333,91.13,45.39,29.21,90.5,84.91,83.84,62,0.0271994964978701,2.72,11949.54752,0.0264394535063925,2.64,ARVIND.NS,0.410870056622734,37.10839,0.29792853210562076,31.30986927981584,609.6305880681871,0.0295446315449073,2.95,0.5992108465427407,0.483518350100724,0.4621520814391997,0.02536049496493235,2.54
79,BAJAJCON,Consumer Defensive,Household & Personal Products,72107843584,0.9208,44.144000000000005,106.48,22.67,58.46,-22.03,41.29,7.34,8,8.0,77.00170357751279,93.2,91.71,91.01,19.7,92.17,56.34,40.67,95.62,84.45,86.02,39,0.0279067353142508,2.79,13318.99272,0.0294694747381046,2.95,BAJAJCON.NS,0.4194459219385406,36.24268000000001,0.29097809018321036,31.545806713527483,676.8745279715645,0.0328034861151294,3.28,0.6037262365024367,0.49361056339625814,0.45915961799500726,0.02519628418420222,2.52
65,ATHERENERG,Consumer Cyclical,Auto Manufacturers,395993808896,1.0273,43.690000000000005,129.45,19.09,60.09,-11.05,41.12,6.62,9,8.0,96.763202725724,92.86,95.51,92.63,22.710000000000004,94.24,56.57,29.21,95.62,97.81,87.2,23,0.0282895526552275,2.83,13686.912,0.0302835293858965,3.03,ATHERENERG.NS,0.4692897361491945,35.323730000000005,0.28360020543589415,33.38900003081538,640.3314991355458,0.031032495053286,3.1,0.639001421400957,0.5522675485461682,0.4585871410255068,0.025164869634997235,2.52
72,HONASA,Consumer Defensive,Household & Personal Products,135433666560,0.9981,38.636,135.27,25.19,47.6,-22.01,71.58,7.34,8,8.0,92.16354344122658,90.78,95.85,91.82,16.926666666666666,89.63,45.97,40.67,95.62,94.7,85.2,47,0.0276407097044196,2.76,13066.272000000004,0.0289103073122788,2.89,HONASA.NS,0.4366332708113268,32.63121,0.26198303122636835,32.375417454683955,667.3306332124721,0.0323409587097145,3.23,0.6196033949174604,0.5138369060942023,0.44986718923869107,0.02468636417702044,2.47
84,JINDALSAW,Basic Materials,Steel,159768723456,0.8377,38.348,104.11,7.7,58.78,-5.51,13.64,9.84,5,5.0,78.87563884156728,90.67,91.24,90.44,20.32333333333333,92.63,80.3,74.83,82.32,85.71,87.74,17,0.0284647402519457,2.85,11547.461399999998,0.0255498016381931,2.55,JINDALSAW.NS,0.4574179932599757,29.48897,0.23675523366566664,31.87605328504985,418.1215486239031,0.0202634961841802,2.03,0.610046522477483,0.5382966946421422,0.43106136352883145,0.023654398580887918,2.37
112,ANGELONE,Financial Services,Capital Markets,303780003840,0.6598,37.064,120.27,5.6,58.04,-6.23,11.6,4.13,12,7.0,94.03747870528107,90.09,94.24,87.21,19.136666666666667,91.71,82.37,5.99,90.5,95.97,85.63,43,0.0277802109388433,2.78,12465.24473,0.0275804801757581,2.76,ANGELONE.NS,0.4765159887331489,28.17958,0.2262426611543349,31.57039639917315,530.0203501352431,0.0256864669564399,2.57,0.6041968359233502,0.560771516334731,0.4200214955641278,0.023048588227160847,2.3
98,ACCENTMIC,Unknown,Unknown,6382436864,0.7461,36.62,101.14,18.32,48.82,-9.46,37.95,5.75,10,8.0,33.901192504258944,89.98,90.67,88.82,19.226666666666667,91.82,58.35,17.74,95.62,55.3,82.52,73,0.0267712601503369,2.68,12257.19072,0.0271201418813577,2.71,ACCENTMIC.NS,0.4692332049088986,29.98261,0.24071847326158063,30.13132777098924,577.9257458805648,0.0280081143507964,2.8,0.5766558224741797,0.552201021692735,0.41650951395575714,0.02285586900015086,2.29
105,GOKULAGRO,Consumer Defensive,Packaged Foods,68710944768,0.6885,34.0,112.36,3.16,54.56,-0.73,6.51,7.34,8,7.0,55.36626916524702,88.82,92.86,88.02,18.996666666666663,91.36,89.92,40.67,90.5,69.82,86.58,31,0.0280884113404771,2.81,12743.36388,0.0281958439226577,2.82,GOKULAGRO.NS,0.5008432168631864,25.52885,0.20496100226510974,31.71494415033976,506.5847847391847,0.024550705138997,2.46,0.606963202642046,0.5894001813307794,0.40688964569670644,0.022327980821464675,2.23
103,AFIL,Financial Services,Credit Services,6146965504,0.6969,38.988,101.36,14.61,55.24,-8.63,26.81,4.13,12,8.0,0.0,91.24,90.78,88.25,20.406666666666663,92.74,66.82,5.99,95.62,16.24,81.1,85,0.0263105816552632,2.63,11838.978,0.0261948084536513,2.62,AFIL.NS,0.547377089926515,31.095890000000004,0.24965655643421483,29.79382848346513,489.87153698227377,0.0237407281520131,2.37,0.5701967334253708,0.6441619756370432,0.39910892081642557,0.02190101523573065,2.19
81,ASIANENE,Energy,Oil & Gas Equipment & Services,18563803136,0.8705,34.24,76.41,25.84,39.84,-18.31,49.56,13.21,3,8.0,73.59454855195912,89.06,83.64,90.78,15.79,88.02,51.96,90.32,95.62,82.14,85.65,42,0.0277866993683513,2.78,13204.660500000002,0.0292165043716608,2.92,ASIANENE.NS,0.5540722189171483,29.50305,0.23686827639622024,29.93213024145944,486.1986632349407,0.0235627290428808,2.36,0.5728435638143927,0.6520409088206192,0.3934765543201214,0.021591940349114637,2.16
123,EMAMIREAL,Real Estate,Real Estate - Development,4448897536,0.6276,35.662,65.5,23.8,43.57,-25.35,35.78,9.07,6,4.0,0.0,89.63,78.4,85.94,14.006666666666668,85.37,60.02,65.84,72.12,16.24,76.47,141,0.0248085102241428,2.48,8186.725259999999,0.018113869292465,1.81,EMAMIREAL.NS,0.5324664795983409,30.18156,0.24231576383286152,25.96236736457493,243.7934439005372,0.0118150034038314,1.18,0.49686991624744564,0.626614934696327,0.3703512850928575,0.02032294622931235,2.03
143,GANESHHOU,Real Estate,Real Estate - Development,65104470016,0.545,25.49,62.14,25.07,25.77,-13.6,60.45,9.07,6,5.0,42.4190800681431,81.45,76.44,83.64,12.413333333333334,82.49,48.62,65.84,82.32,61.06,76.64,137,0.0248636618749614,2.49,8810.5344,0.0194941033746583,1.95,GANESHHOU.NS,0.4280408466931638,22.9255,0.18405973858707986,25.67260896078806,359.86204343518426,0.0174400558114724,1.74,0.49132449614765833,0.5037252061394045,0.3694086526660144,0.020271219479883265,2.03
152,ARROWGREEN,Consumer Cyclical,Packaging & Containers,8101468672,0.4985,31.128,87.46,2.07,50.5,-0.08,3.59,6.62,9,7.0,51.27768313458262,86.98,87.9,82.6,17.496666666666666,89.98,93.78,29.21,90.5,67.05,84.12,58,0.0272903345109832,2.73,12029.496480000002,0.0266163478036257,2.66,ARROWGREEN.NS,0.5641082651504327,23.222050000000003,0.18644062081333443,29.517166093122,418.6028522060468,0.0202868216820703,2.03,0.5649019459051011,0.6638514860044122,0.3677667294864918,0.020181119302475393,2.02
139,EMKAY,Financial Services,Capital Markets,7947385856,0.556,31.05,51.76,24.84,35.19,9.0,36.53,4.13,12,5.0,47.52981260647359,86.87,69.93,84.1,23.01,94.53,59.45,5.99,82.32,64.52,77.57,121,0.0251653738470871,2.52,9025.65735,0.0199700823374737,2.0,EMKAY.NS,0.5483131722101512,26.9656,0.216496097657358,26.488674414648603,289.85633492492127,0.0140473571765008,1.4,0.5069424237433285,0.6452635720032099,0.3603226941596327,0.01988589285956048,1.99
159,BCG,Communication Services,Advertising Agencies,24403929088,0.4636,30.68,51.82,30.17,31.02,-13.47,50.4,4.24,11,5.0,0.0,86.64,70.05,81.8,15.906666666666666,88.25,51.38,13.02,82.32,16.24,72.96,186,0.0236697908454748,2.37,7984.742399999999,0.0176669639659562,1.77,BCG.NS,0.8497507003346279,27.57336,0.2213755614301736,24.266926334214524,171.34620536111348,0.0083039804811203,0.83,0.46442242673587236,1.0,0.2743191952664184,0.01988589285956048,1.99
177,HMVL,Communication Services,Publishing,5927500288,0.418,24.554,66.92,21.14,26.83,-1.96,52.73,4.24,11,0.0,16.183986371379895,80.88,79.72,79.72,15.336666666666666,87.56,50.81,13.02,20.45,43.32,64.52,286,0.0209316735930651,2.09,4162.8304,0.0092106383636355,0.92,HMVL.NS,0.3888302195570894,21.5714,0.17318820723462236,22.310078231085196,57.37742878240858,0.0027806921528366,0.28,0.4269721072231178,0.4575815229148618,0.3485478212001237,0.01988589285956048,1.99
